team_name,match_id,passing_possession_%,passing_total_passes,passing_completed_passes,passing_passing_accuracy,passing_progressive_passes,passing_final_third_passes,passing_penalty_area_passes,passing_crosses_attempted,passing_crosses_completed,passing_cross_success_rate,attacking_total_shots,attacking_shots_on_target,attacking_shots_blocked,attacking_shots_off_target,attacking_xg,attacking_avg_xg_per_shot,attacking_key_passes,defensive_pressures,defensive_high_pressures,defensive_tackles,defensive_interceptions,defensive_ball_recoveries,defensive_blocks,defensive_clearances,defensive_xga,defensive_pressing_success,defensive_aerial_duels_won,defensive_fouls_committed,defensive_yellow_cards,defensive_red_cards,goalkeeper_saves,goalkeeper_shots_faced,goalkeeper_goals_conceded,goalkeeper_clean_sheets,goalkeeper_goals_prevented,goalkeeper_post_shot_xg_conceded,goalkeeper_psxg_plus_minus,goalkeeper_sweeper_actions,transition_counter_attacks,transition_counter_attack_shots,transition_turnovers_to_shots,transition_avg_attack_speed,transition_press_to_attack_conversion,efficiency_goals_scored,efficiency_goals_conceded,efficiency_conversion_rate,efficiency_xg_vs_goals_diff,efficiency_xga_vs_conceded_diff
Argentina,3864218.4285714286,58.628571428571426,659.2857142857143,562.7142857142857,84.88571428571429,134.85714285714286,151.71428571428572,35.142857142857146,11.714285714285714,3.4285714285714284,28.142857142857142,11.571428571428571,5.857142857142857,1.4285714285714286,3.5714285714285716,1.51,0.12671428571428572,9.285714285714286,140.0,31.571428571428573,0.0,10.0,46.42857142857143,18.0,20.142857142857142,0.5271428571428571,14.214285714285714,35.42857142857143,16.285714285714285,0.7142857142857143,0.0,0.7142857142857143,1.5714285714285714,0.8571428571428571,0.5714285714285714,-0.5071428571428571,0.35000000000000003,-0.5071428571428571,0.0,1.0,0.14285714285714285,0.14285714285714285,0.0,2.8857142857142857,2.0,0.8571428571428571,20.471428571428568,0.48999999999999994,0.33
Australia,3860243.75,37.2,426.75,317.75,73.4,97.5,82.5,22.5,8.75,2.5,31.05,5.5,1.75,1.75,1.25,0.34750000000000003,0.07125000000000001,3.75,137.25,31.25,0.0,10.5,43.0,27.5,23.75,1.1775,16.775,38.0,15.0,0.0,0.0,1.5,3.0,1.5,0.5,-1.01,0.49,-1.01,0.0,1.5,0.0,0.0,0.0,1.775,0.75,1.5,12.95,0.40249999999999997,0.3225
Belgium,3857282.3333333335,55.5,622.3333333333334,532.6666666666666,85.53333333333335,141.0,92.33333333333333,25.333333333333332,10.0,3.3333333333333335,40.63333333333333,9.0,2.6666666666666665,2.6666666666666665,3.0,0.9199999999999999,0.09700000000000002,8.666666666666666,103.0,18.666666666666668,0.0,7.666666666666667,39.0,18.666666666666668,22.0,0.8533333333333334,10.833333333333334,28.666666666666668,10.333333333333334,0.0,0.0,1.6666666666666667,2.3333333333333335,0.6666666666666666,0.6666666666666666,-0.33666666666666667,0.33,-0.33666666666666667,0.0,3.0,0.0,0.0,0.0,1.2,0.3333333333333333,0.6666666666666666,4.766666666666667,-0.5866666666666666,-0.18666666666666665
Brazil,3862096.0,56.8,639.2,555.2,86.8,145.8,174.0,43.0,15.6,4.2,27.54,14.4,6.8,3.0,3.6,1.576,0.1116,12.2,121.0,35.6,0.0,8.4,53.4,17.6,13.8,0.33399999999999996,16.82,34.6,13.2,0.0,0.0,1.2,1.8,0.6,0.4,-0.49000000000000005,0.11000000000000001,-0.49000000000000005,0.0,1.2,0.2,0.2,0.0,3.56,1.2,0.6,9.5,-0.376,0.266
Cameroon,3857276.3333333335,43.4,420.3333333333333,323.3333333333333,76.26666666666667,98.33333333333333,93.66666666666667,25.333333333333332,11.0,2.0,21.0,7.333333333333333,4.333333333333333,1.3333333333333333,1.3333333333333333,0.5866666666666667,0.07766666666666666,6.0,134.33333333333334,32.666666666666664,0.0,15.333333333333334,47.666666666666664,15.333333333333334,22.333333333333332,1.7266666666666666,12.933333333333332,31.0,12.0,0.3333333333333333,0.0,4.0,5.333333333333333,1.3333333333333333,0.3333333333333333,-0.4066666666666667,0.9266666666666667,-0.4066666666666667,0.0,2.0,0.0,0.0,0.0,0.4666666666666666,1.0,1.3333333333333333,12.166666666666666,0.41333333333333333,-0.3933333333333333
Canada,3857275.0,54.300000000000004,523.6666666666666,439.3333333333333,83.83333333333333,128.0,116.33333333333333,27.0,12.333333333333334,5.0,37.233333333333334,9.0,1.3333333333333333,3.3333333333333335,4.333333333333333,0.68,0.08033333333333333,8.333333333333334,126.66666666666667,40.0,0.0,10.666666666666666,53.0,16.333333333333332,17.0,1.1133333333333333,14.633333333333333,21.666666666666668,12.333333333333334,0.3333333333333333,0.0,1.6666666666666667,4.0,2.3333333333333335,0.0,-1.5133333333333334,0.82,-1.5133333333333334,0.0,1.0,0.0,0.0,0.0,2.9333333333333336,0.3333333333333333,2.3333333333333335,5.566666666666666,-0.3466666666666667,1.22
Costa Rica,3857292.6666666665,32.0,364.6666666666667,276.6666666666667,74.76666666666667,80.0,40.0,9.0,6.0,1.3333333333333333,16.666666666666668,1.6666666666666667,1.0,0.0,0.3333333333333333,0.16333333333333333,0.06266666666666666,1.6666666666666667,145.0,14.0,0.0,12.0,44.333333333333336,21.0,27.0,2.0933333333333333,12.899999999999999,37.666666666666664,10.333333333333334,0.0,0.0,2.3333333333333335,6.0,3.6666666666666665,0.3333333333333333,-2.2533333333333334,1.4133333333333333,-2.2533333333333334,0.3333333333333333,4.666666666666667,0.0,0.0,0.0,0.5,0.3333333333333333,3.6666666666666665,16.666666666666668,0.17,1.5733333333333335
Croatia,3864242.285714286,54.385714285714286,644.4285714285714,542.2857142857143,84.02857142857144,146.42857142857142,143.57142857142858,41.57142857142857,16.571428571428573,4.857142857142857,27.614285714285717,7.714285714285714,2.7142857142857144,1.2857142857142858,3.4285714285714284,0.7085714285714285,0.09799999999999999,7.142857142857143,135.57142857142858,34.57142857142857,0.0,12.142857142857142,47.42857142857143,18.571428571428573,22.428571428571427,1.0,11.928571428571429,35.42857142857143,14.428571428571429,0.42857142857142855,0.0,2.7142857142857144,3.7142857142857144,1.0,0.2857142857142857,-0.33714285714285713,0.6628571428571428,-0.33714285714285713,0.2857142857142857,1.0,0.0,0.0,0.0,1.2857142857142858,1.1428571428571428,1.0,11.428571428571429,0.4342857142857143,-3.172065784643304e-17
Denmark,3857259.0,58.833333333333336,642.6666666666666,537.6666666666666,83.73333333333333,153.0,153.0,46.333333333333336,13.333333333333334,3.0,23.766666666666666,6.333333333333333,1.6666666666666667,1.3333333333333333,2.6666666666666665,0.4366666666666667,0.06966666666666667,8.666666666666666,112.0,36.666666666666664,0.0,11.0,43.0,19.666666666666668,21.333333333333332,0.81,17.0,40.333333333333336,11.333333333333334,0.0,0.0,2.0,3.0,1.0,0.3333333333333333,-0.75,0.25,-0.75,0.0,1.6666666666666667,0.0,0.0,0.0,2.1,0.0,1.0,0.0,-0.4366666666666667,0.19000000000000003
Ecuador,3857275.6666666665,53.166666666666664,482.3333333333333,384.3333333333333,79.5,101.0,85.33333333333333,27.0,9.333333333333334,4.333333333333333,45.76666666666667,6.666666666666667,2.6666666666666665,1.3333333333333333,2.0,0.5966666666666666,0.09366666666666668,5.333333333333333,139.0,34.333333333333336,0.0,10.666666666666666,43.666666666666664,20.0,17.0,0.6833333333333332,13.533333333333333,39.0,16.666666666666668,0.0,0.0,0.3333333333333333,1.3333333333333333,1.0,0.3333333333333333,-0.63,0.37000000000000005,-0.63,0.0,1.6666666666666667,0.3333333333333333,0.3333333333333333,0.0,1.7666666666666668,0.6666666666666666,1.0,11.1,0.07,0.31666666666666665
