match_id,match_date,team_name,team_type,opponent_name,passing_possession_%,passing_total_passes,passing_completed_passes,passing_passing_accuracy,passing_progressive_passes,passing_final_third_passes,passing_penalty_area_passes,passing_crosses_attempted,passing_crosses_completed,passing_cross_success_rate,attacking_total_shots,attacking_shots_on_target,attacking_shots_blocked,attacking_shots_off_target,attacking_xg,attacking_avg_xg_per_shot,attacking_key_passes,defensive_pressures,defensive_high_pressures,defensive_tackles,defensive_interceptions,defensive_ball_recoveries,defensive_blocks,defensive_clearances,defensive_xga,defensive_pressing_success,defensive_aerial_duels_won,defensive_fouls_committed,defensive_yellow_cards,defensive_red_cards,goalkeeper_saves,goalkeeper_shots_faced,goalkeeper_goals_conceded,goalkeeper_clean_sheets,goalkeeper_goals_prevented,goalkeeper_post_shot_xg_conceded,goalkeeper_psxg_plus_minus,goalkeeper_sweeper_actions,transition_counter_attacks,transition_counter_attack_shots,transition_turnovers_to_shots,transition_avg_attack_speed,transition_press_to_attack_conversion,efficiency_goals_scored,efficiency_goals_conceded,efficiency_conversion_rate,efficiency_xg_vs_goals_diff,efficiency_xga_vs_conceded_diff
3857256,02/12/2022,Serbia,home_team,Switzerland,56.8,521,407,78.1,118,114,24,15,5,33.3,10,3,2,4,0.64,0.064,8,94,28,0,5,52,23,9,1.9,21.3,34,21,3,0,2,5,3,0,-1.69,1.31,-1.69,0,2,0,0,0,0,2,3,20,1.36,1.1
3857256,02/12/2022,Switzerland,away_team,Serbia,43.2,445,346,77.8,112,95,27,11,4,36.4,9,5,2,2,1.9,0.211,7,83,20,0,18,40,17,27,0.64,12,34,14,1,0,1,3,2,0,-1.69,0.31,-1.69,0,1,0,0,0,0,3,2,33.3,1.1,1.36
3869151,03/12/2022,Argentina,home_team,Australia,63.5,728,646,88.7,126,135,20,5,1,20,9,3,0,5,0.9,0.1,9,127,50,0,16,47,13,25,0.32,15,33,9,0,0,1,1,0,1,0.23,0.23,0.23,0,1,0,0,0,1.5,2,0,22.2,1.1,-0.32
3869151,03/12/2022,Australia,away_team,Argentina,36.5,478,384,80.3,108,65,22,8,3,37.5,3,1,2,0,0.32,0.105,3,216,50,0,9,42,23,11,0.9,10.6,30,18,0,0,1,3,2,0,-1.61,0.39,-1.61,0,0,0,0,0,2.4,0,2,0,-0.32,1.1
3857257,30/11/2022,Australia,home_team,Denmark,32.5,350,219,62.6,85,92,23,6,1,16.7,8,4,3,1,0.47,0.059,6,101,23,0,11,39,28,29,0.36,20.8,40,12,0,0,1,1,0,1,0.09,0.09,0.09,0,4,0,0,0,1.7,1,0,12.5,0.53,-0.36
3857257,30/11/2022,Denmark,away_team,Australia,67.5,715,590,82.5,163,171,46,19,3,15.8,6,1,2,3,0.36,0.06,11,101,33,0,12,49,22,27,0.47,22.8,50,10,0,0,3,4,1,0,-0.83,0.17,-0.83,0,3,0,0,0,3,0,1,0,-0.36,0.53
3857258,24/11/2022,Brazil,home_team,Serbia,60.4,618,539,87.2,151,178,40,16,2,12.5,15,6,2,5,1.31,0.087,12,102,34,0,8,56,16,22,0.16,10.8,39,8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3.9,1,0,6.7,-0.31,-0.16
3857258,24/11/2022,Serbia,away_team,Brazil,39.6,446,351,78.7,90,78,17,8,1,12.5,5,0,2,3,0.16,0.033,3,147,28,0,11,36,19,19,1.31,10.2,33,11,1,0,5,6,1,0,-0.26,0.74,-0.26,0,4,0,0,0,1.4,0,1,0,-0.16,-0.31
3857288,26/11/2022,Tunisia,home_team,Australia,58.7,548,406,74.1,123,124,39,16,5,31.2,12,2,6,4,0.98,0.081,10,121,29,0,8,73,27,35,0.28,24,53,15,0,0,0,1,1,0,-0.96,0.04,-0.96,0,0,0,0,0,2.9,0,1,0,-0.98,0.72
3857288,26/11/2022,Australia,away_team,Tunisia,41.3,404,274,67.8,96,113,31,15,3,20,7,1,2,2,0.28,0.04,5,127,28,0,11,45,35,34,0.98,15.7,53,16,0,0,2,2,0,1,0.1,0.1,0.1,0,2,0,0,0,1.3,1,0,14.3,0.72,-0.98
3857267,29/11/2022,Ecuador,home_team,Senegal,56.9,465,362,77.8,108,88,21,9,4,44.4,5,3,0,2,0.21,0.042,5,113,19,0,9,41,19,29,1.65,15.9,39,23,0,0,1,3,2,0,-0.95,1.05,-0.95,0,2,0,0,0,0,0,2,0,-0.21,0.35
3857267,29/11/2022,Senegal,away_team,Ecuador,43.1,311,213,68.5,79,91,30,12,5,41.7,11,3,3,5,1.65,0.15,6,126,20,0,7,58,14,39,0.21,12.7,31,10,0,0,3,3,0,1,0.11,0.11,0.11,0,2,0,0,0,0,2,0,18.2,0.35,-0.21
3869321,09/12/2022,Netherlands,home_team,Argentina,50.3,691,572,82.8,196,115,25,14,2,14.3,7,2,3,2,0.57,0.081,4,216,41,0,24,49,12,27,1.94,6.9,33,37,5,0,3,5,2,0,-0.62,1.38,-0.62,0,0,0,0,0,0,2,2,28.6,1.43,0.06
3869321,09/12/2022,Argentina,away_team,Netherlands,49.7,640,531,83,134,145,35,6,2,33.3,14,5,4,4,1.94,0.139,10,190,35,0,10,48,16,27,0.57,10.5,43,22,4,0,0,2,2,0,-1.73,0.27,-1.73,0,2,0,0,0,3.4,2,2,14.3,0.06,1.43
3857287,24/11/2022,Uruguay,home_team,South Korea,53.8,570,475,83.3,121,115,30,13,5,38.5,8,1,1,4,0.37,0.046,8,102,16,0,17,37,20,31,0.49,8.8,40,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-0.37,-0.49
3857287,24/11/2022,South Korea,away_team,Uruguay,46.2,463,351,75.8,92,149,29,7,1,14.3,7,0,1,5,0.49,0.07,7,103,38,0,13,42,11,20,0.37,13.6,47,11,0,0,1,1,0,1,0.05,0.05,0.05,0,2,0,0,0,0,0,0,0,-0.49,-0.37
3869486,10/12/2022,Morocco,home_team,Portugal,25.2,249,184,73.9,67,24,8,4,2,50,7,2,0,5,0.88,0.125,7,163,15,0,15,50,25,35,0.74,14.7,28,18,0,0,3,3,0,1,0.18,0.18,0.18,0,1,0,0,0,0,1,0,14.3,0.12,-0.74
3869486,10/12/2022,Portugal,away_team,Morocco,74.8,731,616,84.3,163,171,50,20,5,25,12,3,3,4,0.74,0.062,10,79,41,0,4,45,8,3,0.88,12.7,26,9,0,0,1,2,1,0,-0.41,0.59,-0.41,0,1,0,0,0,5.7,0,1,0,-0.74,0.12
3869685,18/12/2022,Argentina,home_team,France,55.8,693,560,80.8,164,164,49,17,6,35.3,15,8,2,4,1.81,0.12,14,167,31,0,13,59,26,26,2,16.8,50,29,0,0,1,4,3,0,-1.24,1.76,-1.24,0,0,0,0,0,3.4,2,3,13.3,0.19,1
3869685,18/12/2022,France,away_team,Argentina,44.2,570,434,76.1,126,100,26,9,1,11.1,9,4,3,2,2,0.222,3,194,45,0,15,56,24,19,1.81,12.4,48,19,1,0,6,8,2,0,-0.68,1.32,-0.68,0,1,0,0,0,1.1,3,2,33.3,1,0.19
3857260,30/11/2022,Saudi Arabia,home_team,Mexico,38.6,322,194,60.2,77,79,19,6,2,33.3,10,2,1,7,1.08,0.108,6,129,16,0,15,57,28,30,1.59,20.2,37,21,0,0,6,7,1,0,-0.41,0.59,-0.41,1,0,0,0,0,2.5,1,1,10,-0.08,-0.59
3857260,30/11/2022,Mexico,away_team,Saudi Arabia,61.4,488,367,75.2,126,110,37,16,3,18.8,17,7,3,5,1.59,0.094,14,139,29,0,15,64,19,21,1.08,13.7,34,18,0,0,1,2,1,0,-0.46,0.54,-0.46,0,1,0,0,0,2.6,1,1,5.9,-0.59,-0.08
3857264,30/11/2022,Poland,home_team,Argentina,26.5,337,267,79.2,67,31,6,3,3,100,4,0,2,1,0.2,0.049,4,105,11,0,10,24,17,32,2.34,10.5,32,9,0,0,9,11,2,0,-0.22,1.78,-0.22,0,1,0,0,0,0,0,2,0,-0.2,-0.34
3857264,30/11/2022,Argentina,away_team,Poland,73.5,909,826,90.9,189,280,61,19,4,21.1,18,11,2,4,2.34,0.13,14,88,21,0,7,53,12,7,0.2,23.9,27,12,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7.8,2,0,11.1,-0.34,-0.2
3857266,26/11/2022,France,home_team,Denmark,50.9,540,464,85.9,137,107,31,18,11,61.1,18,5,6,5,1.82,0.101,17,109,12,0,15,38,19,17,0.55,12.8,41,4,0,0,1,1,0,1,0.19,0.19,0.19,0,0,0,0,0,6.9,2,0,11.1,0.18,-0.55
3857266,26/11/2022,Denmark,away_team,France,49.1,567,479,84.5,135,138,41,9,2,22.2,8,1,2,4,0.55,0.069,6,126,40,0,11,36,14,17,1.82,13.5,41,11,0,0,3,5,2,0,-1.42,0.58,-1.42,0,0,0,0,0,1.5,0,2,0,-0.55,0.18
3857289,26/11/2022,Argentina,home_team,Mexico,59.6,567,476,84,122,122,18,11,3,27.3,5,2,0,3,0.33,0.065,2,109,25,0,5,34,17,20,0.21,11,38,15,0,0,1,1,0,1,0.06,0.06,0.06,0,2,0,0,0,0,2,0,40,1.67,-0.21
3857289,26/11/2022,Mexico,away_team,Argentina,40.4,403,304,75.4,78,84,15,11,4,36.4,4,1,1,2,0.21,0.052,2,147,22,0,16,34,10,15,0.33,8.8,39,21,0,0,0,2,2,0,-1.93,0.07,-1.93,0,0,0,0,0,1.5,0,2,0,-0.21,1.67
3857269,28/11/2022,Brazil,home_team,Switzerland,55.8,597,507,84.9,119,181,47,18,2,11.1,11,4,5,0,0.85,0.078,9,104,40,0,14,55,17,11,0.2,26,32,10,0,0,0,0,0,1,0,0,0,0,2,0,0,0,4.9,1,0,9.1,0.15,-0.2
3857269,28/11/2022,Switzerland,away_team,Brazil,44.2,513,428,83.4,101,69,18,5,0,0,4,0,2,1,0.2,0.049,5,112,16,0,8,41,14,27,0.85,13.4,33,18,0,0,3,4,1,0,-0.67,0.33,-0.67,0,1,0,0,0,0,0,1,0,-0.2,0.15
3857294,29/11/2022,Netherlands,home_team,Qatar,62.1,832,747,89.8,178,228,23,7,1,14.3,5,0,1,3,0.19,0.038,7,137,47,0,4,33,16,8,0.14,6.6,25,19,0,0,3,3,0,1,0.07,0.07,0.07,0,1,0,0,0,1.8,0,0,0,-0.19,-0.14
3857294,29/11/2022,Qatar,away_team,Netherlands,37.9,486,396,81.5,86,100,23,13,3,23.1,5,3,0,2,0.14,0.029,3,127,11,0,12,48,13,11,0.19,12.6,26,8,0,0,0,0,0,1,0,0,0,0,2,0,0,0,1.6,0,0,0,-0.14,-0.19
3869254,06/12/2022,Portugal,home_team,Switzerland,47,488,404,82.8,104,87,24,9,3,33.3,13,7,3,1,2.18,0.168,7,172,49,0,10,33,17,16,0.95,5.2,28,14,0,0,1,2,1,0,-0.31,0.69,-0.31,0,2,0,0,0,1.3,6,1,46.2,3.82,0.05
3869254,06/12/2022,Switzerland,away_team,Portugal,53,528,438,83,113,111,32,6,0,0,8,2,4,1,0.95,0.119,6,106,32,0,9,29,14,15,2.18,12.3,20,15,0,0,1,7,6,0,-4.11,1.89,-4.11,1,1,0,0,0,0,1,6,12.5,0.05,3.82
3869118,04/12/2022,England,home_team,Senegal,62.2,626,536,85.6,140,116,30,12,4,33.3,8,4,0,4,1.02,0.128,5,95,23,0,15,37,16,11,0.97,10.5,36,16,0,0,1,1,0,1,0.04,0.04,0.04,0,2,2,2,0,1.8,3,0,37.5,1.98,-0.97
3869118,04/12/2022,Senegal,away_team,England,37.8,408,323,79.2,90,73,23,8,3,37.5,10,1,4,5,0.97,0.097,6,137,31,0,9,36,20,21,1.02,8.8,25,13,0,0,1,4,3,0,-2.43,0.57,-2.43,0,0,0,0,0,0,0,3,0,-0.97,1.98
3869684,17/12/2022,Croatia,home_team,Morocco,50.1,528,439,83.1,133,95,30,12,2,16.7,10,3,2,5,0.6,0.06,6,113,34,0,8,40,13,19,0.99,10.6,26,14,0,0,1,2,1,0,-0.42,0.58,-0.42,0,3,0,0,0,1.5,2,1,20,1.4,0.01
3869684,17/12/2022,Morocco,away_team,Croatia,49.9,512,431,84.2,117,101,19,13,4,30.8,9,2,2,5,0.99,0.11,7,144,33,0,16,44,15,16,0.6,12.5,25,15,2,0,1,3,2,0,-1.79,0.21,-1.79,1,2,0,0,0,2.7,1,2,11.1,0.01,1.4
3869519,13/12/2022,Argentina,home_team,Croatia,40,432,358,82.9,79,86,17,4,1,25,9,7,1,1,1.86,0.207,6,192,38,0,8,40,23,18,0.31,8.3,34,20,1,0,2,2,0,1,0.05,0.05,0.05,0,2,1,1,0,2.4,3,0,33.3,1.14,-0.31
3869519,13/12/2022,Croatia,away_team,Argentina,60,648,559,86.3,135,152,28,12,3,25,10,2,2,6,0.31,0.031,10,98,16,0,12,50,12,8,1.86,10.2,29,10,1,0,4,7,3,0,-1.3,1.7,-1.3,1,0,0,0,0,0,0,3,0,-0.31,1.14
3869354,10/12/2022,England,home_team,France,59,554,465,83.9,116,125,32,14,2,14.3,14,6,4,3,2.06,0.147,11,112,30,0,9,42,8,11,0.84,11.6,43,10,0,0,3,5,2,0,-1.34,0.66,-1.34,0,1,0,0,0,1.6,1,2,7.1,-1.06,1.16
3869354,10/12/2022,France,away_team,England,41,412,328,79.6,87,116,22,9,6,66.7,8,5,1,2,0.84,0.105,6,118,18,0,7,34,14,17,2.06,9.3,31,15,0,0,5,6,1,0,0,1,0,0,3,0,0,0,1.8,2,1,25,1.16,-1.06
3869552,14/12/2022,France,home_team,Morocco,38.7,387,316,81.7,87,50,14,3,1,33.3,6,0,2,3,0.39,0.065,11,190,31,0,20,42,20,19,0.4,10,33,14,0,0,1,1,0,1,0.02,0.02,0.02,0,1,0,0,0,1.3,0,0,0,-0.39,-0.4
3869552,14/12/2022,Morocco,away_team,France,61.3,615,529,86,159,122,29,15,2,13.3,6,1,1,2,0.4,0.066,6,118,25,0,4,53,11,12,0.39,21.2,38,14,0,0,0,0,0,1,0,0,0,0,1,0,0,0,4.6,0,0,0,-0.4,-0.39
3869420,09/12/2022,Croatia,home_team,Brazil,50.5,737,639,86.7,174,142,27,15,5,33.3,9,1,3,4,0.63,0.07,8,151,23,0,14,48,22,34,1.31,13.9,48,23,1,0,8,9,1,0,0.03,1.03,0.03,1,3,0,0,0,0,1,1,11.1,0.37,-0.31
3869420,09/12/2022,Brazil,away_team,Croatia,49.5,747,652,87.3,173,204,39,15,5,33.3,15,9,3,2,1.31,0.087,14,164,48,0,8,57,29,13,0.63,9.1,36,25,0,0,0,1,1,0,-0.9,0.1,-0.9,0,2,1,1,0,2.4,1,1,6.7,-0.31,0.37
3869220,06/12/2022,Morocco,home_team,Spain,26.2,365,250,68.5,89,46,17,7,4,57.1,6,2,0,3,0.57,0.095,4,177,24,0,18,51,20,35,0.35,10.2,41,19,0,0,1,1,0,1,0.01,0.01,0.01,0,2,0,0,0,4.4,0,0,0,-0.57,-0.35
3869220,06/12/2022,Spain,away_team,Morocco,73.8,1068,960,89.9,220,258,41,21,5,23.8,10,1,4,4,0.35,0.035,8,152,68,0,9,50,18,10,0.57,17.8,29,14,0,0,2,2,0,1,0.15,0.15,0.15,0,1,0,0,0,2.3,0,0,0,-0.35,-0.57
3869219,05/12/2022,Japan,home_team,Croatia,41.2,582,436,74.9,116,144,39,18,3,16.7,7,2,0,3,0.82,0.118,7,133,30,0,21,70,31,34,0.31,21.8,51,13,0,0,2,3,1,0,-0.89,0.11,-0.89,0,3,0,0,0,1.4,1,1,14.3,0.18,0.69
3869219,05/12/2022,Croatia,away_team,Japan,58.8,796,657,82.5,184,189,52,24,8,33.3,8,3,1,4,0.31,0.039,8,150,47,0,10,62,34,43,0.82,16.7,41,16,0,0,1,2,1,0,-0.52,0.48,-0.52,0,0,0,0,0,3.4,1,1,12.5,0.69,0.18
3869253,05/12/2022,Brazil,home_team,South Korea,54.3,641,566,88.3,140,147,38,11,4,36.4,12,7,2,3,2.37,0.198,10,103,25,0,8,42,16,10,0.3,15.5,32,8,0,0,4,5,1,0,-0.76,0.24,-0.76,0,2,0,0,0,3.6,3,1,25,0.63,0.7
3869253,05/12/2022,South Korea,away_team,Brazil,45.7,555,476,85.8,120,153,32,9,1,11.1,6,5,0,1,0.3,0.05,5,175,46,0,22,38,21,15,2.37,8.6,27,12,0,0,4,7,3,0,-0.78,2.22,-0.78,0,0,0,0,0,0,1,3,16.7,0.7,0.63
3869152,04/12/2022,France,home_team,Poland,55.6,593,505,85.2,127,178,41,15,4,26.7,14,7,2,3,1.08,0.077,8,117,24,0,15,38,18,12,1.17,13.7,21,11,0,0,0,1,1,0,-0.22,0.78,-0.22,0,1,0,0,0,1.7,3,1,21.4,1.92,-0.17
3869152,04/12/2022,Poland,away_team,France,44.4,488,406,83.2,109,93,26,15,7,46.7,9,1,4,2,1.17,0.13,5,120,37,0,8,45,16,22,1.08,15,38,10,0,0,4,7,3,0,-2.43,0.57,-2.43,0,1,0,0,0,1.7,1,3,11.1,-0.17,1.92
